cont,n_est,max_samp,thr_pct,f1
0.05,100,auto,0.0,0.43485570187727657
0.05,100,auto,0.0,0.43485570187727657
0.05,100,auto,0.0,0.43485570187727657
0.05,100,auto,0.0,0.43485570187727657
0.05,100,auto,0.0,0.43485570187727657
0.05,100,auto,0.0,0.43485570187727657
0.05,100,auto,1.0,0.4382633250970702
0.05,100,auto,2.0,0.44175620863872483
0.05,100,auto,3.0,0.44530521483394303
0.05,100,auto,4.0,0.44887924801156903
0.05,100,auto,5.0,0.45254410263886863
0.05,100,auto,6.0,0.45626929295898866
0.05,100,auto,7.0,0.45990810730695125
0.05,100,auto,8.0,0.46357318986774265
0.05,100,auto,9.0,0.4673347901439228
0.05,100,auto,10.0,0.4713124097575804
0.05,100,auto,11.0,0.47486204782342123
0.05,100,auto,12.0,0.4785095856524428
0.05,100,auto,13.0,0.4822208359326263
0.05,100,auto,14.0,0.486312146003776
0.05,100,auto,15.0,0.4901198317593842
0.05,100,0.8,0.0,0.43485570187727657
0.05,100,0.8,0.0,0.43485570187727657
0.05,100,0.8,0.0,0.43485570187727657
0.05,100,0.8,0.0,0.43485570187727657
0.05,100,0.8,0.0,0.43485570187727657
0.05,100,0.8,0.0,0.43485570187727657
0.05,100,0.8,1.0,0.4382633250970702
0.05,100,0.8,2.0,0.44175620863872483
0.05,100,0.8,3.0,0.44530521483394303
0.05,100,0.8,4.0,0.44887924801156903
0.05,100,0.8,5.0,0.45254410263886863
0.05,100,0.8,6.0,0.45626929295898866
0.05,100,0.8,7.0,0.4600563213279976
0.05,100,0.8,8.0,0.4638720765149817
0.05,100,0.8,9.0,0.4677869037751488
0.05,100,0.8,10.0,0.4717683714567976
0.05,100,0.8,11.0,0.4757817290006131
0.05,100,0.8,12.0,0.47990105132962274
0.05,100,0.8,13.0,0.4840923268870867
0.05,100,0.8,14.0,0.4883574575204531
0.05,100,0.8,15.0,0.4926593127529561
0.05,200,auto,0.0,0.43485570187727657
0.05,200,auto,0.0,0.43485570187727657
0.05,200,auto,0.0,0.43485570187727657
0.05,200,auto,0.0,0.43485570187727657
0.05,200,auto,0.0,0.43485570187727657
0.05,200,auto,0.0,0.43485570187727657
0.05,200,auto,1.0,0.4382633250970702
0.05,200,auto,2.0,0.44175620863872483
0.05,200,auto,3.0,0.44530521483394303
0.05,200,auto,4.0,0.44887924801156903
0.05,200,auto,5.0,0.45254410263886863
0.05,200,auto,6.0,0.45626929295898866
0.05,200,auto,7.0,0.45990810730695125
0.05,200,auto,8.0,0.46357318986774265
0.05,200,auto,9.0,0.4674854946876648
0.05,200,auto,10.0,0.4713124097575804
0.05,200,auto,11.0,0.47532188841201717
0.05,200,auto,12.0,0.47943722943722944
0.05,200,auto,13.0,0.4836244541484716
0.05,200,auto,14.0,0.48772813089993705
0.05,200,auto,15.0,0.49138957225617014
0.05,200,0.8,0.0,0.43485570187727657
0.05,200,0.8,0.0,0.43485570187727657
0.05,200,0.8,0.0,0.43485570187727657
0.05,200,0.8,0.0,0.43485570187727657
0.05,200,0.8,0.0,0.43485570187727657
0.05,200,0.8,0.0,0.43485570187727657
0.05,200,0.8,1.0,0.4382633250970702
