arch,rate,precision,recall,f1,avg_latency_ms,throughput_ev_s
monolith,5000.0,0.16914872207687665,0.5415592783505154,0.2577825486888514,1748.1700677235922,261.7024899074799
microservice,5000.0,0.170305127398553,1.0,0.2910439737662617,4.2441044787462605,1557.9000004940049
monolith,10000.0,0.16934996981283962,0.5422036082474226,0.25808925011501305,1731.0254231770834,264.3939251024996
microservice,10000.0,0.17011278195488722,1.0,0.29076305220883536,4.964659841952735,1206.7811929177378
monolith,15000.0,0.17098808689558515,0.5502577319587629,0.26090277247384097,1761.0355120340982,261.25943650851735
microservice,15000.0,0.17009404388714733,1.0,0.2907356802229009,4.347434778052612,1292.3874171755206
monolith,30000.0,0.16200915442062153,0.4333118556701031,0.23584078555146415,2244.416665728887,239.13510883584712
microservice,30000.0,0.17005715690492287,1.0,0.2906817943061246,4.465558410793658,1538.1497294778733
